0 -65 0.050000001 0.60000002 0.317 -1.035 4.3623528 -3.1839001 0 
0.050000001 -62.546341 0.052067708 0.59971476 0.31718376 -1.1433066 5.2665243 -2.4478025 0 
0.1 -60.164051 0.056768451 0.59887451 0.31773278 -1.4483652 6.1771517 -1.7331151 0 
0.15000001 -57.841694 0.063873813 0.59742457 0.31866205 -2.0147426 7.111824 -1.0364082 0 
0.2 -55.564186 0.073304839 0.59529728 0.3199867 -2.9705007 8.0904055 -0.35315567 0 
0.25 -53.309505 0.085081607 0.5924114 0.32172325 -4.5232644 9.1370592 0.32324815 0 
0.30000001 -51.044453 0.099306799 0.58866864 0.32389179 -6.9903932 10.283298 1.002764 0 
0.34999999 -48.718735 0.11617636 0.58394617 0.32651985 -10.846932 11.572833 1.7004796 0 
0.40000001 -46.256416 0.13601795 0.5780825 0.32964858 -16.803099 13.069589 2.4391756 0 
0.44999999 -43.542976 0.15936358 0.57085419 0.33334237 -25.934921 14.871403 3.2532067 0 
0.5 -40.404877 0.18706952 0.56194168 0.33770403 -39.909237 17.134472 4.1946363 0 
0.55000001 -36.57637 0.22050323 0.5508908 0.34289932 -61.360794 20.1189 5.3431883 0 
0.60000002 -31.646776 0.26181659 0.53711176 0.34919649 -94.444458 24.276724 6.8220668 0 
0.64999998 -24.987822 0.31426635 0.52004892 0.35702783 -145.24789 30.423964 8.8197536 0 
0.69999999 -15.710764 0.38225114 0.49972075 0.36706859 -220.08553 40.05674 11.602871 0 
0.75 -2.917129 0.46983606 0.4773007 0.38026857 -314.34647 55.767616 15.440961 0 
0.80000001 13.046007 0.57565737 0.45453501 0.39760408 -384.50522 81.0159 20.229902 0 
0.85000002 28.539795 0.68668914 0.43248096 0.41925412 -360.63062 117.38919 24.878038 0 
0.89999998 38.467396 0.78335679 0.41142407 0.44382656 -273.70145 161.2928 27.856319 0 
0.94999999 42.24894 0.85509837 0.39137894 0.46913952 -227.60823 207.95294 28.990782 0 
1 42.852093 0.90388113 0.37230852 0.49372569 -235.82893 256.38403 29.171728 0 
1.05 42.263672 0.93604654 0.35416827 0.51705879 -269.66095 306.88123 28.995201 0 
1.1 41.161732 0.95709556 0.33691382 0.53902429 -313.28033 359.09781 28.664619 0 
1.15 39.752861 0.97085869 0.32050249 0.5596233 -360.64786 412.24295 28.241959 0 
1.2 38.113602 0.97986424 0.30489373 0.57888979 -409.14551 465.38535 27.750179 0 
1.25 36.283611 0.98575652 0.29004893 0.59687018 -457.30008 517.59387 27.201183 0 
1.3 34.291103 0.98959959 0.27593151 0.613617 -504.0885 568.00543 26.603432 0 
1.35 32.160362 0.99208063 0.26250678 0.62918621 -548.71729 615.86322 25.964209 0 
1.4 29.91399 0.99364245 0.24974193 0.64363551 -590.55011 660.5368 25.290297 0 
1.45 27.573345 0.9945696 0.23760587 0.65702319 -629.0838 701.53015 24.588104 0 
1.5 25.158442 0.99504369 0.2260693 0.66940737 -663.93884 738.47992 23.863632 0 
1.55 22.687714 0.9951784 0.21510459 0.6808449 -694.85126 771.14661 23.122414 0 
1.6 20.177813 0.99504286 0.20468579 0.69139123 -721.66193 799.40161 22.369444 0 
1.65 17.643497 0.99467558 0.19478856 0.70109946 -744.30444 823.21216 21.60915 0 
1.7 15.097615 0.99409407 0.18539014 0.71002042 -762.79077 842.62482 20.845385 0 
1.75 12.551143 0.99330062 0.17646939 0.71820223 -777.19739 857.74994 20.081444 0 
1.8 10.013288 0.99228603 0.16800667 0.72569031 -787.65149 868.74707 19.320087 0 
1.85 7.4916201 0.99103165 0.15998398 0.73252702 -794.31885 875.81177 18.563585 0 
1.9 4.9922166 0.98951101 0.15238477 0.73875213 -797.39282 879.16443 17.813765 0 
1.95 2.5198288 0.98769021 0.14519408 0.74440247 -797.08502 879.04095 17.072048 0 
2 0.078036673 0.98552835 0.13839842 0.7495122 -793.61786 875.685 16.339512 0 
2.05 -2.3305967 0.98297763 0.13198581 0.7541129 -787.21808 869.34198 15.616921 0 
2.0999999 -4.7043862 0.97998273 0.12594575 0.75823379 -778.11212 860.25446 14.904784 0 
2.1500001 -7.0424023 0.97648114 0.12026906 0.76190162 -766.52185 848.65845 14.20338 0 
2.2 -9.3443708 0.97240216 0.11494797 0.76514107 -752.66174 834.78088 13.512789 0 
2.25 -11.610602 0.96766686 0.10997593 0.76797479 -736.73608 818.8374 12.832919 0 
2.3 -13.841948 0.96218759 0.10534745 0.77042347 -718.93665 801.03088 12.163516 0 
2.3499999 -16.039797 0.95586729 0.10105801 0.77250612 -699.44012 781.54974 11.504161 0 
2.4000001 -18.206123 0.9485994 0.097103857 0.77424002 -678.40588 760.56622 10.854263 0 
2.45 -20.343561 0.94026691 0.093481764 0.77564085 -655.97296 738.23468 10.213032 0 
2.5 -22.455544 0.93074185 0.090188883 0.77672279 -632.25696 714.68939 9.5794373 0 
2.55 -24.546473 0.91988456 0.087222487 0.77749854 -607.34686 690.04205 8.9521589 0 
2.5999999 -26.621933 0.90754181 0.084579915 0.77797931 -581.30164 664.37933 8.3295202 0 
2.6500001 -28.688931 0.89354545 0.082258441 0.77817464 -554.14746 637.76019 7.7094212 0 
2.7 -30.756115 0.87770933 0.080255337 0.77809256 -525.87524 610.21356 7.0892658 0 
2.75 -32.834003 0.85982603 0.078567997 0.77773935 -496.44064 581.73724 6.465899 0 
2.8 -34.935127 0.83966237 0.077194184 0.77711952 -465.76541 552.29785 5.8355618 0 
2.8499999 -37.074043 0.81695485 0.076132327 0.77623552 -433.74368 521.83344 5.1938872 0 
